"Reporting starts","Reporting ends","Campaign name","Campaign delivery","Attribution setting",Results,"Result indicator",Reach,Frequency,"Cost per results","Ad set budget","Ad set budget type","Amount spent (USD)",Ends,Impressions,"CPM (cost per 1,000 impressions) (USD)","Link clicks",shop_clicks,"CPC (cost per link click) (USD)","CTR (link click-through rate)","Clicks (all)","CTR (all)","CPC (all) (USD)","Landing page views","Cost per landing page view (USD)"
2026-01-01,2026-02-18,"MB - Web. Vis. (180 Days) - Sam T. Testimonial (New VSL)",inactive,-,,,0,0,,10,Daily,0,Ongoing,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"Event Plan. - Top 25% Inc. - Eng. Shop. - Keaton (New VSL)",inactive,-,,,0,0,,10,Daily,0,Ongoing,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"NEW - Event Plan. - Top 25% Inc. - Eng. Shop. - Sam T. (New VSL)",inactive,-,,,0,0,,10,Daily,0,Ongoing,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"Coaches/Consultants - Eng. Shop. - NEW Ad - Short (New VSL)",inactive,-,,,0,0,,10,Daily,0,Ongoing,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"Coaches/Speakers - Keaton (New VSL)",inactive,-,,,0,0,,10,Daily,0,Ongoing,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"Coaches/Speakers - Keaton (Calender)",inactive,-,,,0,0,,10,Daily,0,Ongoing,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"Coaches/Speakers - Keaton (Calender)",inactive,-,,,0,0,,10,Daily,0,Ongoing,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"Watched 50% Vids Past Year - NEW Ad - Short (New VSL)",inactive,-,,,0,0,,10,Daily,0,Ongoing,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"MB - Watched 50% Vids Past Year - Keaton Testimonial (New VSL)",inactive,-,,,0,0,,10,Daily,0,Ongoing,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"MB -  Watched 50% Vids Past Year - Announcement - Short (ESM Site)",inactive,-,,,0,0,,10,Daily,0,Ongoing,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"Coaches/Consultants + Event Planning - Announcement - Short (New VSL)",inactive,-,,,0,0,,10,Daily,0,Ongoing,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"Watched 50% Vids Past Year - Announcement (New VSL)",inactive,-,,,0,0,,10,Daily,0,Ongoing,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"Coaches/Consultants - Announcement - Short (New VSL)",inactive,-,,,0,0,,10,Daily,0,Ongoing,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"NEW - Coaches/Consultants + Event Planning - Announcement - Short (ESM Site)",inactive,-,,,0,0,,10,Daily,0,Ongoing,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"NEW - Coaches/Consultants  - Announcement - Short (ESM Site)",inactive,-,,,0,0,,10,Daily,0,Ongoing,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"MB - Engaged in IG Past Year - Announcement - Short (ESM Site)",inactive,-,,,0,0,,10,Daily,0,Ongoing,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"NEW - Event Plan. - Top 25% Inc. - Eng. Shop. - Announcement - Short (ESM Site)",inactive,-,,,0,0,,10,Daily,0,Ongoing,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"NEW - Sent DM Past Year - Announcement - Short (ESM Site)",inactive,-,,,0,0,,10,Daily,0,Ongoing,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"NEW - Engaged in IG Past Year - Announcement - Full (ESM Site)",inactive,-,,,0,0,,10,Daily,0,Ongoing,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"NEW - Coaches/Consultants (A+) - Announcement - Short (ESM Site)",inactive,-,,,0,0,,10,Daily,0,Ongoing,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"MB - Untargeted (A+) - Announcement - Short (ESM Site)",inactive,-,,,0,0,,10,Daily,0,Ongoing,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"MB - Web. Vis. Past 6 Months - Announcement - Short (ESM Site)",inactive,-,,,0,0,,10,Daily,0,Ongoing,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"NEW - Coaches/Consultants (A+) - Sam T. Testimonial (ESM Site)",inactive,-,,,0,0,,10,Daily,0,Ongoing,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"DAX Ads: Original Ads & Copy (optimize) goes direct to a calendar",inactive,-,,,0,0,,50,Daily,0,Ongoing,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"Campaign #2: Original Ads & Copy (Brian Testing) - it goes to a VSL",inactive,-,,,0,0,,25,Daily,0,Ongoing,0,0,,,,,0,0,0,,
