"Reporting starts","Reporting ends","Ad name","Ad delivery","Attribution setting",Results,"Result indicator",Reach,Frequency,"Cost per results","Ad set budget","Ad set budget type","Amount spent (USD)",Ends,"Quality ranking","Engagement rate ranking","Conversion rate ranking",Impressions,"CPM (cost per 1,000 impressions) (USD)","Link clicks",shop_clicks,"CPC (cost per link click) (USD)","CTR (link click-through rate)","Clicks (all)","CTR (all)","CPC (all) (USD)","Landing page views","Cost per landing page view (USD)"
2026-01-01,2026-02-18,"$15K Sizzle Reel Testimonial",not_delivering,"7-day click, 1-day view, or 1-day engaged-view",,,5,1,,10,Daily,0.12,Ongoing,-,-,-,5,24,,,,,0,0,0,,
2026-01-01,2026-02-18,"Video #1",not_delivering,-,,,0,0,,10,Daily,0,Ongoing,-,-,-,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"Sizzle #2",not_delivering,"7-day click or 1-day view",,,1,1,,35,Daily,0.01,Ongoing,-,-,-,1,10,,,,,0,0,0,,
2026-01-01,2026-02-18,"Sam Taggert",not_delivering,"7-day click or 1-day view",,,170,1.058824,,20,Daily,4.42,Ongoing,-,-,-,180,24.555556,1,,4.42,0.555556,3,1.666667,1.473333,2,2.21
2026-01-01,2026-02-18,"Sizzle #3",not_delivering,"7-day click or 1-day view",,,1,1,,20,Daily,0,Ongoing,-,-,-,1,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"Tiffany Lyons",not_delivering,"7-day click or 1-day view",,,8,1,,20,Daily,0.24,Ongoing,-,-,-,8,30,,,,,0,0,0,,
2026-01-01,2026-02-18,"We Fill Rooms #2",not_delivering,"7-day click or 1-day view",,,1,1,,10,Daily,0.28,Ongoing,-,-,-,1,280,,,,,0,0,0,,
2026-01-01,2026-02-18,"Sam Taggert",not_delivering,"7-day click, 1-day view, or 1-day engaged-view",,,2,1,,10,Daily,0,Ongoing,-,-,-,2,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"Tiffany Lyons",not_delivering,"7-day click, 1-day view, or 1-day engaged-view",,,111,1.036036,,10,Daily,4.59,Ongoing,-,-,-,115,39.913043,3,,1.53,2.608696,7,6.086957,0.655714,3,1.53
2026-01-01,2026-02-18,Shanda,not_delivering,"7-day click, 1-day view, or 1-day engaged-view",,,21,1,,10,Daily,0.45,Ongoing,-,-,-,21,21.428571,,,,,0,0,0,,
2026-01-01,2026-02-18,"Cody Sperber",not_delivering,"7-day click, 1-day view, or 1-day engaged-view",,,24,1.208333,,10,Daily,2.78,Ongoing,-,-,-,29,95.862069,2,,1.39,6.896552,4,13.793103,0.695,2,1.39
2026-01-01,2026-02-18,"Sam Taggert",not_delivering,"7-day click, 1-day view, or 1-day engaged-view",,,108,1.018519,,10,Daily,3.33,Ongoing,-,-,-,110,30.272727,1,,3.33,0.909091,2,1.818182,1.665,1,3.33
